asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00 ,$169.99 ,USD,4.0,1319,16,$69.88 ,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon."
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$88.09 ,$98.27 ,USD,3.8,1338,31,$70.40 ,500+ bought in past month,"FREE delivery Mon, Sep 30"
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$49.99 ,$59.99 ,USD,4.4,3843,3,$25.19 ,4K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$149.99 ,$249.99 ,USD,4.2,2637,8,$100.72 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,$149.50 ,$158.00 ,USD,4.2,253,9,$146.50 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0C22BRGLG,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,$249.99 ,$299.99 ,USD,4.3,963,5,$209.28 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$355.81 ,$415.00 ,USD,4.1,4265,20,$303.99 ,500+ bought in past month,"FREE delivery Tomorrow, Sep 20"
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00 ,$169.99 ,USD,4.0,1319,16,$69.88 ,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 3 left in stock - order soon."
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
