asin,first_three_words,shortened_product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B0BQ118F2T,Moto G Play,Moto G Play 2023 3-Day Battery,$99.00 ,$169.99 ,USD,4.0,1319,16,$69.88 ,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon."
B09SM24S8C,Samsung Galaxy A03s,Samsung Galaxy A03s Cell Phone,$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B09T3MQSVP,Samsung Galaxy A13,Samsung Galaxy A13 5G Cell Pho,$88.09 ,$98.27 ,USD,3.8,1338,31,$70.40 ,500+ bought in past month,"FREE delivery Mon, Sep 30"
B0BZG14KFJ,Panasonic Cordless Phone,Panasonic Cordless Phone with ,$49.99 ,$59.99 ,USD,4.4,3843,3,$25.19 ,4K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C2SWQBMB,Motorola Moto G,Motorola Moto G 5G | 2023 | Un,$149.99 ,$249.99 ,USD,4.2,2637,8,$100.72 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CTD47P22,Samsung Galaxy A15,Samsung Galaxy A15 A155M 128GB,$149.50 ,$158.00 ,USD,4.2,253,9,$146.50 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0C22BRGLG,OnePlus Nord N30,OnePlus Nord N30 5G | Unlocked,$249.99 ,$299.99 ,USD,4.3,963,5,$209.28 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B09LKXHWCF,Apple iPhone 13,"Apple iPhone 13 Mini, 128GB, B",$355.81 ,$415.00 ,USD,4.1,4265,20,$303.99 ,500+ bought in past month,"FREE delivery Tomorrow, Sep 20"
B0BQ118F2T,Moto G Play,Moto G Play 2023 3-Day Battery,$99.00 ,$169.99 ,USD,4.0,1319,16,$69.88 ,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 3 left in stock - order soon."
B09SM24S8C,Samsung Galaxy A03s,Samsung Galaxy A03s Cell Phone,$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0BZG14KFJ,Panasonic Cordless Phone,Panasonic Cordless Phone with ,$49.99 ,$59.99 ,USD,4.4,3843,3,$25.19 ,4K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C2SWQBMB,Motorola Moto G,Motorola Moto G 5G | 2023 | Un,$149.99 ,$249.99 ,USD,4.2,2637,8,$100.72 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CTD47P22,Samsung Galaxy A15,Samsung Galaxy A15 A155M 128GB,$149.50 ,$158.00 ,USD,4.2,253,9,$146.50 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0C22BRGLG,OnePlus Nord N30,OnePlus Nord N30 5G | Unlocked,$249.99 ,$299.99 ,USD,4.3,963,5,$209.28 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B085TCRFST,Alcatel 1 (16GB),Alcatel 1 (16GB) 5.0&quot; Ful,$41.99 ,$44.70 ,USD,3.6,2048,7,$29.70 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B096T6Y623,Samsung Galaxy S21,"Samsung Galaxy S21 Ultra 5G, U",$269.99 ,$294.00 ,USD,3.9,2362,69,$244.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CMDL3H3V,SAMSUNG Galaxy S24+,SAMSUNG Galaxy S24+ Plus Cell ,$798.00 ,$999.99 ,USD,4.5,615,2,$741.99 ,1K+ bought in past month,"$10.33 delivery Fri, Oct 4"
B0CD99XXQY,SAMSUNG Galaxy S23,SAMSUNG Galaxy S23 FE AI Phone,$499.99 ,$599.99 ,USD,4.5,1159,2,$451.19 ,200+ bought in past month,"FREE delivery Wed, Sep 25"
B0CSF1MRRR,BLU G63 |,BLU G63 | 2023 | 3-Day Battery,$89.99 ,$129.99 ,USD,3.9,92,5,$79.99 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B01H1E3EAA,AT&amp;T TRIMLINE 213,AT&amp;T TRIMLINE 213 Corded H,$17.56 ,$19.95 ,USD,4.4,315,2,$13.28 ,900+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0BZ9XNBRB,Google Pixel 7a,Google Pixel 7a - Unlocked And,$344.95 ,$499.00 ,USD,4.3,2482,21,$318.00 ,1K+ bought in past month,FREE delivery
B0CTD42NJZ,SAMSUNG Galaxy A15,SAMSUNG Galaxy A15 5G (SM-156M,$183.69 ,$199.00 ,USD,4.3,146,7,$176.35 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C1Q3MVBP,Samsung Galaxy A14,Samsung Galaxy A14 5G A Series,$98.52 ,$172.00 ,USD,3.7,762,23,$88.98 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CCT2BR1J,Tracfone Samsung Galaxy,Tracfone Samsung Galaxy A14 5G,$99.88 ,$119.99 ,USD,4.2,308,2,$64.99 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
