coach_id,coach_url,short_name,long_name,dob,nationality_name,coach_face_url,nation_flag_url
50,/coach/50/steven-gerrard/,S. Gerrard,Steven Gerrard,1980-05-30,England,https://cdn.sportmonks.com/images/soccer/players/18/50.png,https://cdn.sofifa.net/flags/gb-eng.png
95,/coach/95/frank-lampard/,F. Lampard,Frank Lampard,1978-06-20,England,https://cdn.sportmonks.com/images/soccer/players/31/95.png,https://cdn.sofifa.net/flags/gb-eng.png
121,/coach/121/carl-hoefkens/,C. Hoefkens,Carl Hoefkens,1978-10-05,Belgium,https://cdn.sportmonks.com/images//soccer/coaches/25/121.png,https://cdn.sofifa.net/flags/be.png
204,/coach/204/ki-hyeon-seol/,K. Seol,Ki-Hyeon Seol,1979-01-08,Korea Republic,https://cdn.sportmonks.com/images/soccer/players/12/204.png,https://cdn.sofifa.net/flags/kr.png
236,/coach/236/vincent-kompany/,V. Kompany,Vincent Kompany,1986-04-10,Belgium,https://cdn.sportmonks.com/images/soccer/players/12/236.png,https://cdn.sofifa.net/flags/be.png
243,/coach/243/didier-digard/,D. Digard,Didier Digard,1986-07-12,France,https://cdn.sportmonks.com/images/soccer/players/19/243.png,https://cdn.sofifa.net/flags/fr.png
252,/coach/252/carlos-alberto-tevez/,C. Tevez,Carlos Alberto Tevez,1984-02-05,Argentina,https://cdn.sportmonks.com/images/soccer/players/28/252.png,https://cdn.sofifa.net/flags/ar.png
277,/coach/277/matthew-taylor/,M. Taylor,Matthew Taylor,1981-11-27,England,https://cdn.sportmonks.com/images/soccer/players/21/277.png,https://cdn.sofifa.net/flags/gb-eng.png
305,/coach/305/phil-neville/,P. Neville,Phil Neville,1977-01-21,England,https://cdn.sportmonks.com/images//soccer/coaches/17/305.png,https://cdn.sofifa.net/flags/gb-eng.png
307,/coach/307/mikel-arteta-amatriain/,M. Arteta,Mikel Arteta Amatriain,1982-03-26,Spain,https://cdn.sportmonks.com/images/soccer/players/19/307.png,https://cdn.sofifa.net/flags/es.png
380,/coach/380/emre-belozoglu/,E. Belözoğlu,Emre Belözoğlu,1980-09-07,Turkey,https://cdn.sportmonks.com/images/soccer/players/28/380.png,https://cdn.sofifa.net/flags/tr.png
382,/coach/382/damien-duff/,D. Duff,Damien Duff,1979-03-02,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/players/30/382.png,https://cdn.sofifa.net/flags/ie.png
468,/coach/468/wade-elliott/,W. Elliott,Wade Elliott,1978-12-14,England,https://cdn.sportmonks.com/images/soccer/players/20/468.png,https://cdn.sofifa.net/flags/gb-eng.png
469,/coach/469/olof-mellberg/,O. Mellberg,Olof Mellberg,1977-09-03,Sweden,https://cdn.sportmonks.com/images/soccer/players/21/469.png,https://cdn.sofifa.net/flags/se.png
491,/coach/491/ian-ross-evatt/,I. Evatt,Ian Ross Evatt,1981-11-19,England,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-eng.png
497,/coach/497/dirk-kuijt/,D. Kuijt,Dirk Kuijt,1980-07-22,Netherlands,https://cdn.sportmonks.com/images/soccer/players/17/497.png,https://cdn.sofifa.net/flags/nl.png
511,/coach/511/xabier-alonso-olano/,X. Alonso Olano,Xabier Alonso Olano,1981-11-25,Spain,https://cdn.sportmonks.com/images/soccer/players/31/511.png,https://cdn.sofifa.net/flags/es.png
562,/coach/562/rob-edwards/,R. Edwards,Rob Edwards,1982-12-25,Wales,https://cdn.sportmonks.com/images/soccer/placeholder.png,https://cdn.sofifa.net/flags/gb-wls.png
579,/coach/579/wayne-mark-rooney/,W. Rooney,Wayne Mark Rooney,1985-10-24,England,https://cdn.sportmonks.com/images/soccer/players/3/579.png,https://cdn.sofifa.net/flags/gb-eng.png
